surface_name	site_name	species_name	formation_energy	frequencies	reference
Ni	111	CO	-0.02	[2040.0,306.9,268.2,261.1,99.7,68.7]	This Work, BEEF-vdw
Ni	111	CO-O	0.89	[1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	This Work, BEEF-vdw
Ni	111	H	0	[978.2,768.0,764.8]	This Work, BEEF-vdw
Ni	111	H-H	0	[1224.9,1016.8,814.3,376.5,311.2]	This Work, BEEF-vdw
Ni	111	O	-0.36	[413.6,381.7,381.6]	This Work, BEEF-vdw
None	gas	CH4	0	[]	This Work, BEEF-vdw
None	gas	CO	1.28	[]	This Work, BEEF-vdw
None	gas	CO2	0	[]	This Work, BEEF-vdw
None	gas	H2	0	[]	This Work, BEEF-vdw
Pd	111	C	2.54	[455.9,468.2,469.2]	This Work, BEEF-vdw
Pd	111	C-H	3.155	[1238.2,658.6,495.8,434.6,346.4]	This Work, BEEF-vdw
Pd	111	C-O	5.36	[506.9,420.5,385.3,330.8,219.4]	This Work, BEEF-vdw
Pd	111	CH	1.755	[379.0,380.0,503.1,599.3,599.4,3065.5]	This Work, BEEF-vdw
Pd	111	CH-H	2.25	[3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	This Work, BEEF-vdw
Pd	111	CH-O	4.07	[3116.8,874.8,638.1,475.2,432.3,391.2,332.3,172.6]	This Work, BEEF-vdw
Pd	111	CH2	1.65	[152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	This Work, BEEF-vdw
Pd	111	CH2-H	1.925	[3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	This Work, BEEF-vdw
Pd	111	CH2-O	4.04	[3121.6,3034.3,1356.9,871.7,651.1,515.6,424.5,368.7,282.9,231.5,152.8]	This Work, BEEF-vdw
Pd	111	CH2O	1.98	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	This Work, BEEF-vdw
Pd	111	CH2O-H	2.42	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	This Work, BEEF-vdw
