surface_name    site_name   species_name    formation_energy    frequencies reference
None    gas CH4 0   []  catapp
None    gas CO2 0   []  catapp
None    gas CO  1.28    []  catapp
None    gas H2  0   []  catapp
Pt	111	CH-O	4.21	[3116.8,874.8,638.1,475.2,432.3,391.2,332.3,172.6]	jsy
Rh	111	CO-H	2.64	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Ag	111	CO-H	5.5		[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Cu	111	CO-H	4.39	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Pd	111	CO-H	2.8		[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Pt	111	CO-H	2.73	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Rh	111	CHO-H	2.52	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Ag	111	CHO-H	4.34	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Cu	111	CHO-H	3.66	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Pd	111	CHO-H	2.77	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Pt	111	CHO-H	2.6		[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Rh	111	CH2O-H	2.2		[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Ag	111	CH2O-H	3.57	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Cu	111	CH2O-H	3.18	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Pd	111	CH2O-H	2.42	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
